,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_optimizer,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
21,7.292573034763336,1.9535662902640534,0.18710434436798096,0.0017870521458954699,relu,SGD,"{'activation': 'relu', 'optimizer': 'SGD'}",0.8962500095367432,0.8987500071525574,0.6412500143051147,0.9012500047683716,0.8343750089406967,0.11151478008932594,15
22,7.062057852745056,0.48961109754075355,0.19090312719345093,0.01110832007739887,relu,RMSprop,"{'activation': 'relu', 'optimizer': 'RMSprop'}",0.7587500214576721,0.9362499713897705,0.9325000047683716,0.7262499928474426,0.8384374976158142,0.09663224793025056,14
23,7.2953367829322815,1.9685115985526516,0.18872642517089844,0.011468723836449889,relu,Adagrad,"{'activation': 'relu', 'optimizer': 'Adagrad'}",0.6675000190734863,0.6349999904632568,0.6474999785423279,0.637499988079071,0.6468749940395355,0.01279344275376261,31
24,6.3219563364982605,0.017821333434732977,0.18498897552490234,0.0031596670845109756,relu,Adadelta,"{'activation': 'relu', 'optimizer': 'Adadelta'}",0.6050000190734863,0.4962500035762787,0.53125,0.6225000023841858,0.5637500062584877,0.05187876822676849,43
25,7.471935153007507,1.8967659254178393,0.18398290872573853,0.0009951156567494146,relu,Adam,"{'activation': 'relu', 'optimizer': 'Adam'}",0.9275000095367432,0.9337499737739563,0.9312499761581421,0.9712499976158142,0.9409374892711639,0.0176417283244516,1
26,6.62994921207428,0.444892995370609,0.19478249549865723,0.016717996983154855,relu,Adamax,"{'activation': 'relu', 'optimizer': 'Adamax'}",0.9162499904632568,0.9649999737739563,0.9225000143051147,0.7262499928474426,0.8824999928474426,0.09214034595191839,8
27,7.762878656387329,0.027907698663804326,0.1865861415863037,0.003860656841334205,relu,Nadam,"{'activation': 'relu', 'optimizer': 'Nadam'}",0.9037500023841858,0.9487500190734863,0.9212499856948853,0.9225000143051147,0.924062505364418,0.01606566801956341,4
28,6.088367402553558,0.009282855149467662,0.1897222399711609,0.003259891736614382,tanh,SGD,"{'activation': 'tanh', 'optimizer': 'SGD'}",0.8824999928474426,0.8062499761581421,0.8075000047683716,0.8149999976158142,0.8278124928474426,0.03175067711187144,18
29,6.772932052612305,0.06361227900826005,0.4265398383140564,0.397490892115159,tanh,RMSprop,"{'activation': 'tanh', 'optimizer': 'RMSprop'}",0.8037499785423279,0.8475000262260437,0.8787500262260437,0.9150000214576721,0.8612500131130219,0.040898135565784,11
30,6.195367515087128,0.010567153356167014,0.18520116806030273,0.0026767411606985537,tanh,Adagrad,"{'activation': 'tanh', 'optimizer': 'Adagrad'}",0.6299999952316284,0.6725000143051147,0.6912500262260437,0.6587499976158142,0.6631250083446503,0.022334472123842243,30
