,validation,training,group
102,0.977777792347802,0.6499999761581421,100
103,0.808333330684238,0.5000000033113692,100
104,0.9402777751286825,0.527777784400516,100
105,1.0,0.699999988079071,100
106,0.8722222248713175,0.4111111130979326,100
107,0.8277777632077535,0.2777777810891469,100
108,0.9375,0.550000011920929,100
109,0.9097222420904372,0.5833333532015482,100
110,0.6236111124356588,0.40555555952919853,100
111,0.8680555621782938,0.5777777830759684,100
112,0.7444444563653734,0.5444444550408257,100
113,0.9819444550408257,0.6333333253860474,100
114,0.9013888902134366,0.533333334657881,100
115,1.0,0.777777784400516,100
116,0.9458333253860474,0.7833333412806193,100
117,0.9750000238418579,0.4722222155994839,100
118,1.0,0.6611110899183485,100
119,1.0,0.5,100
120,0.9597222341431512,0.42777777711550397,100
121,0.5861110885938009,0.44999998807907104,100
122,0.9333333373069763,0.3333333333333333,100
123,1.0,0.8333333532015482,100
124,1.0,0.6000000238418579,100
125,1.0,0.5944444669617547,100
126,0.9750000172191196,0.5611111256811354,100
127,1.0,0.8500000238418579,100
128,0.9750000105963813,0.6833333240614997,100
129,1.0,0.527777784400516,100
130,0.9958333373069763,0.699999988079071,100
131,0.941666669315762,0.5166666706403097,100
132,0.8083333373069763,0.4000000059604645,100
133,0.8708333373069763,0.2666666673289405,100
134,0.7847222354676988,0.39444444908036125,100
135,0.8902777632077535,0.5833333532015482,100
136,1.0,0.75,100
137,0.9972222248713175,0.8222222328186035,100
138,1.0,0.75,100
139,0.5597222248713175,0.32777777314186096,100
140,0.870833330684238,0.5222222242090437,100
141,1.0,0.800000011920929,100
142,0.9736111230320401,0.5888888902134366,100
143,0.9611111018392775,0.6555555462837219,100
144,0.8319444391462538,0.6166666746139526,100
145,1.0,0.7444444431198968,100
146,1.0,0.800000011920929,100
147,1.0,0.6499999761581421,100
148,1.0,0.6499999761581421,100
149,0.9861111111111112,0.7444444431198968,100
150,0.8925925956832038,0.5962962971793281,150
151,0.8944444391462538,0.5333333479033576,150
152,0.8768518567085266,0.5407407515578799,150
153,0.9055555595291985,0.5740740829043918,150
154,0.8037037120925056,0.5370370546976725,150
155,0.9166666799121432,0.42222222685813904,150
156,0.9601851966645982,0.4703703754478031,150
157,0.9629629585478041,0.6407407455974155,150
158,0.8074074122640822,0.49259259303410846,150
159,0.7546296318372091,0.46666667196485734,150
160,1.0,0.6037037173906962,150
161,1.0,0.800000011920929,150
162,0.7314814792739021,0.4592592616875966,150
163,0.7166666587193807,0.3740740815798442,150
164,0.9972222248713175,0.5333333611488342,150
165,0.9833333426051669,0.6592592729462518,150
166,1.0,0.49629630313979256,150
167,0.9740740723080106,0.8185185127788119,150
168,1.0,0.648148152563307,150
169,1.0,0.6666666865348816,150
170,1.0,0.6037037240134345,150
171,0.9842592742707994,0.7851851847436693,150
172,0.6601852046118842,0.4037037094434102,150
173,0.9750000238418579,0.485185186068217,150
174,0.9490740630361769,0.7777777711550394,150
175,0.5722222195731269,0.30000001192092896,150
176,0.9740740656852722,0.5962963104248047,150
177,1.0,0.7851851847436693,150
178,1.0,0.5592592689726088,150
179,1.0,0.6444444457689921,150
180,0.8731481499142117,0.5518518686294556,150
181,0.9657407336764865,0.4703703787591722,150
182,0.9592592583762275,0.6296296450826857,150
183,0.9694444338480631,0.6296296384599473,150
184,0.7851851979891459,0.5407407614919875,150
185,0.9638888835906982,0.8000000052981906,150
186,1.0,0.6296296252144707,150
187,0.7111111084620158,0.5518518487612406,150
188,0.8222222195731269,0.6666666666666666,150
189,0.987962974442376,0.700000007947286,150
190,0.9018518593576219,0.6222222248713175,150
191,1.0,0.7333333492279053,150
192,0.9629629651705424,0.6555555661519369,150
193,0.9305555489328172,0.5370370414521959,150
194,1.0,0.8370370202594333,150
195,0.9453703628646003,0.7481481499142117,150
196,0.9370370374785529,0.5962963104248047,150
197,0.9981481499142117,0.8333333134651184,150
198,0.9972222248713175,0.5407407614919875,150
199,0.9592592649989657,0.7259259356392754,150
200,0.6777777671813965,0.5916666719648573,200
201,0.8604166640175713,0.45277777314186096,200
202,1.0,0.7277777857250638,200
203,0.8506944510671828,0.6305555502573649,200
204,0.7006944417953491,0.5249999860922495,200
205,0.9944444364971585,0.708333326710595,200
206,0.9416666560702853,0.6944444444444444,200
207,0.9874999986754524,0.6611111031638252,200
208,0.5972222354676988,0.35277777247958714,200
209,1.0,0.7416666746139526,200
210,0.9687499867545234,0.7027777896987067,200
211,0.539583338631524,0.4000000059604645,200
212,0.9944444431198968,0.7805555529064603,200
