,validation,training
50,0.2976998008787632,0.3091298185288906
51,0.29669828787446023,0.3081607609987259
52,0.2951336733996868,0.30698646754026415
53,0.29479738771915437,0.30560617074370383
54,0.29282648041844367,0.30487180054187774
55,0.29179889485239985,0.3038054257631302
56,0.2905213437974453,0.3018385209143162
57,0.2894078031182289,0.3009062632918358
58,0.28761566057801247,0.29975968077778814
59,0.28700542747974395,0.29864483550190923
60,0.28538642078638077,0.29672414660453794
61,0.2854984626173973,0.29723522663116453
62,0.28309487253427507,0.29568705186247823
63,0.2831084839999676,0.29397173076868055
64,0.2816773049533367,0.2930854633450508
65,0.2804856214672327,0.29164198115468026
66,0.279921630397439,0.29145928397774695
67,0.2798949934542179,0.2907763451337814
68,0.27859193421900275,0.28965883776545526
69,0.2783150814473629,0.29037115201354025
70,0.2773559056222439,0.28943953961133956
71,0.2771983541548252,0.28839978463947774
72,0.27607224844396117,0.2879607994109392
73,0.27652893029153347,0.28775342404842374
74,0.2754367768764496,0.28721006214618683
75,0.27481011115014553,0.28649973012506963
76,0.27471740879118445,0.2858643289655447
77,0.27458147779107095,0.2861174553632736
78,0.27377214282751083,0.28528421111404895
79,0.27360726408660413,0.2853190962225199
80,0.27323284931480885,0.28467404618859293
81,0.27275537215173246,0.2845608193427324
82,0.27270347364246844,0.28338610418140886
83,0.2713972147554159,0.2834706012159586
84,0.2717413756996393,0.28364752866327764
85,0.27174081914126874,0.2828299794346094
86,0.27091102935373784,0.2829794652760029
87,0.27020363993942736,0.2817948818206787
88,0.26979848071932794,0.28225404880940913
89,0.26919364258646966,0.28104745857417585
90,0.26948328241705893,0.28077290654182435
91,0.2699607342481613,0.28051218055188654
92,0.2686791498214006,0.27997496984899045
93,0.2680333904922009,0.2796068523079157
94,0.26798710562288763,0.2800610657781363
95,0.2679308086633682,0.28040546737611294
96,0.26776813007891176,0.2797580726444721
97,0.2671989068388939,0.27920114547014235
98,0.26735569834709166,0.2787462443113327
99,0.26634762063622475,0.279101500660181
100,0.2674563962966204,0.27865190207958224
101,0.2659333189949393,0.27825724370777605
102,0.26584428660571574,0.27782706916332245
103,0.2648026838898659,0.2781446009874344
104,0.26580261811614037,0.27718159556388855
105,0.26415461432188747,0.27720180675387385
106,0.2643401548266411,0.276087449118495
107,0.26377269849181173,0.2764418225735426
108,0.2645177558064461,0.2764710608869791
109,0.26288713589310647,0.276307326182723
110,0.263122646138072,0.2750017374753952
111,0.2632794491946697,0.2752227373421192
112,0.26217789817601445,0.2750750329345465
113,0.2628639414906502,0.27455654703080656
114,0.26224128250032663,0.2741330895572901
115,0.26184280328452586,0.2745694976300001
116,0.26214938927441833,0.2737754680216312
117,0.26154880207031966,0.2735797267407179
118,0.2612052794545889,0.27403285838663577
119,0.26081846095621586,0.27259088195860387
120,0.26111336406320335,0.27308137379586694
121,0.26167357470840213,0.2728927247226238
122,0.26068691033869984,0.27238195911049845
123,0.2605235118418932,0.27154572792351245
124,0.2606132000684738,0.2712667936459184
125,0.25930880904197695,0.2717322204262018
126,0.25963427536189554,0.2714808709919453
127,0.2588002996519208,0.2721412394195795
128,0.2592171778902411,0.27021873872727153
129,0.25818292163312434,0.2707567235454917
